que_id,que_q,que_a
1,高等教育自学考试制度,1981年，我国开始试行高等教育自学考试（以下简称“自学考试”）。1988年，国务院颁布《高等教育自学考试暂行条例》，以行政法规形式确定自学考试是“个人自学、社会助学、国家考试相结合的高等教育形式”。1998年，《中华人民共和国高等教育法》规定：“国家实行高等教育自学考试制度”，以法律形式确定自学考试是我国高等教育的基本制度之一。自学考试制度是世界上规模最大的、最能体现终身教育理念和学习型社会特点的开放式高等教育制度，它以国家考试为主导，以个人自主学习为基础，有广泛的社会教育资源参与助学活动，是富有中国特色的“没有围墙的大学”，是自学成才的摇篮。自学考试学习方式灵活、工学矛盾小、费用低，实行“宽进严出”，“教考分离”，凡中华人民共和国公民，不受性别、年龄、民族、种族和已受教育程度的限制，均可参加自学考试。自学考试采用学分累计的方式逐步完成学业，学习者完成专业考试计划规定的全部课程并取得合格成绩，完成毕业论文或其他教学实践任务，思想品德鉴定合格者准予毕业取得相应毕业证书，国家承认其学历。符合学位条件的自学考试本科毕业生，由有学位授予权的主考学校依照有关规定，授予学士学位。参加自学考试的群体十分广泛，涵盖了工人、农民、管理人员、少数民族、解放军、武警官兵、公安人员、残障人士和监狱服刑人员等。自学考试为人民群众平等接受高等教育提供了机会和制度保障，深受社会各界欢迎。（以上信息来源于中国教育考试网，教育部教育考试院主办）
2,高等教育自学考试制度详解,1981年，我国开始试行高等教育自学考试（以下简称“自学考试”）。1988年，国务院颁布《高等教育自学考试暂行条例》，以行政法规形式确定自学考试是“个人自学、社会助学、国家考试相结合的高等教育形式”。1998年，《中华人民共和国高等教育法》规定：“国家实行高等教育自学考试制度”，以法律形式确定自学考试是我国高等教育的基本制度之一。自学考试制度是世界上规模最大的、最能体现终身教育理念和学习型社会特点的开放式高等教育制度，它以国家考试为主导，以个人自主学习为基础，有广泛的社会教育资源参与助学活动，是富有中国特色的“没有围墙的大学”，是自学成才的摇篮。自学考试学习方式灵活、工学矛盾小、费用低，实行“宽进严出”，“教考分离”，凡中华人民共和国公民，不受性别、年龄、民族、种族和已受教育程度的限制，均可参加自学考试。自学考试采用学分累计的方式逐步完成学业，学习者完成专业考试计划规定的全部课程并取得合格成绩，完成毕业论文或其他教学实践任务，思想品德鉴定合格者准予毕业取得相应毕业证书，国家承认其学历。符合学位条件的自学考试本科毕业生，由有学位授予权的主考学校依照有关规定，授予学士学位。参加自学考试的群体十分广泛，涵盖了工人、农民、管理人员、少数民族、解放军、武警官兵、公安人员、残障人士和监狱服刑人员等。自学考试为人民群众平等接受高等教育提供了机会和制度保障，深受社会各界欢迎。（以上信息来源于中国教育考试网，教育部教育考试院主办）
3,高等教育自学考试制度是什么,1981年，我国开始试行高等教育自学考试（以下简称“自学考试”）。1988年，国务院颁布《高等教育自学考试暂行条例》，以行政法规形式确定自学考试是“个人自学、社会助学、国家考试相结合的高等教育形式”。1998年，《中华人民共和国高等教育法》规定：“国家实行高等教育自学考试制度”，以法律形式确定自学考试是我国高等教育的基本制度之一。自学考试制度是世界上规模最大的、最能体现终身教育理念和学习型社会特点的开放式高等教育制度，它以国家考试为主导，以个人自主学习为基础，有广泛的社会教育资源参与助学活动，是富有中国特色的“没有围墙的大学”，是自学成才的摇篮。自学考试学习方式灵活、工学矛盾小、费用低，实行“宽进严出”，“教考分离”，凡中华人民共和国公民，不受性别、年龄、民族、种族和已受教育程度的限制，均可参加自学考试。自学考试采用学分累计的方式逐步完成学业，学习者完成专业考试计划规定的全部课程并取得合格成绩，完成毕业论文或其他教学实践任务，思想品德鉴定合格者准予毕业取得相应毕业证书，国家承认其学历。符合学位条件的自学考试本科毕业生，由有学位授予权的主考学校依照有关规定，授予学士学位。参加自学考试的群体十分广泛，涵盖了工人、农民、管理人员、少数民族、解放军、武警官兵、公安人员、残障人士和监狱服刑人员等。自学考试为人民群众平等接受高等教育提供了机会和制度保障，深受社会各界欢迎。（以上信息来源于中国教育考试网，教育部教育考试院主办）
4,解读高等教育自学考试制度,1981年，我国开始试行高等教育自学考试（以下简称“自学考试”）。1988年，国务院颁布《高等教育自学考试暂行条例》，以行政法规形式确定自学考试是“个人自学、社会助学、国家考试相结合的高等教育形式”。1998年，《中华人民共和国高等教育法》规定：“国家实行高等教育自学考试制度”，以法律形式确定自学考试是我国高等教育的基本制度之一。自学考试制度是世界上规模最大的、最能体现终身教育理念和学习型社会特点的开放式高等教育制度，它以国家考试为主导，以个人自主学习为基础，有广泛的社会教育资源参与助学活动，是富有中国特色的“没有围墙的大学”，是自学成才的摇篮。自学考试学习方式灵活、工学矛盾小、费用低，实行“宽进严出”，“教考分离”，凡中华人民共和国公民，不受性别、年龄、民族、种族和已受教育程度的限制，均可参加自学考试。自学考试采用学分累计的方式逐步完成学业，学习者完成专业考试计划规定的全部课程并取得合格成绩，完成毕业论文或其他教学实践任务，思想品德鉴定合格者准予毕业取得相应毕业证书，国家承认其学历。符合学位条件的自学考试本科毕业生，由有学位授予权的主考学校依照有关规定，授予学士学位。参加自学考试的群体十分广泛，涵盖了工人、农民、管理人员、少数民族、解放军、武警官兵、公安人员、残障人士和监狱服刑人员等。自学考试为人民群众平等接受高等教育提供了机会和制度保障，深受社会各界欢迎。（以上信息来源于中国教育考试网，教育部教育考试院主办）
5,高等教育自学考试制度解读,1981年，我国开始试行高等教育自学考试（以下简称“自学考试”）。1988年，国务院颁布《高等教育自学考试暂行条例》，以行政法规形式确定自学考试是“个人自学、社会助学、国家考试相结合的高等教育形式”。1998年，《中华人民共和国高等教育法》规定：“国家实行高等教育自学考试制度”，以法律形式确定自学考试是我国高等教育的基本制度之一。自学考试制度是世界上规模最大的、最能体现终身教育理念和学习型社会特点的开放式高等教育制度，它以国家考试为主导，以个人自主学习为基础，有广泛的社会教育资源参与助学活动，是富有中国特色的“没有围墙的大学”，是自学成才的摇篮。自学考试学习方式灵活、工学矛盾小、费用低，实行“宽进严出”，“教考分离”，凡中华人民共和国公民，不受性别、年龄、民族、种族和已受教育程度的限制，均可参加自学考试。自学考试采用学分累计的方式逐步完成学业，学习者完成专业考试计划规定的全部课程并取得合格成绩，完成毕业论文或其他教学实践任务，思想品德鉴定合格者准予毕业取得相应毕业证书，国家承认其学历。符合学位条件的自学考试本科毕业生，由有学位授予权的主考学校依照有关规定，授予学士学位。参加自学考试的群体十分广泛，涵盖了工人、农民、管理人员、少数民族、解放军、武警官兵、公安人员、残障人士和监狱服刑人员等。自学考试为人民群众平等接受高等教育提供了机会和制度保障，深受社会各界欢迎。（以上信息来源于中国教育考试网，教育部教育考试院主办）
6,有关高等教育自学考试制度的解读,1981年，我国开始试行高等教育自学考试（以下简称“自学考试”）。1988年，国务院颁布《高等教育自学考试暂行条例》，以行政法规形式确定自学考试是“个人自学、社会助学、国家考试相结合的高等教育形式”。1998年，《中华人民共和国高等教育法》规定：“国家实行高等教育自学考试制度”，以法律形式确定自学考试是我国高等教育的基本制度之一。自学考试制度是世界上规模最大的、最能体现终身教育理念和学习型社会特点的开放式高等教育制度，它以国家考试为主导，以个人自主学习为基础，有广泛的社会教育资源参与助学活动，是富有中国特色的“没有围墙的大学”，是自学成才的摇篮。自学考试学习方式灵活、工学矛盾小、费用低，实行“宽进严出”，“教考分离”，凡中华人民共和国公民，不受性别、年龄、民族、种族和已受教育程度的限制，均可参加自学考试。自学考试采用学分累计的方式逐步完成学业，学习者完成专业考试计划规定的全部课程并取得合格成绩，完成毕业论文或其他教学实践任务，思想品德鉴定合格者准予毕业取得相应毕业证书，国家承认其学历。符合学位条件的自学考试本科毕业生，由有学位授予权的主考学校依照有关规定，授予学士学位。参加自学考试的群体十分广泛，涵盖了工人、农民、管理人员、少数民族、解放军、武警官兵、公安人员、残障人士和监狱服刑人员等。自学考试为人民群众平等接受高等教育提供了机会和制度保障，深受社会各界欢迎。（以上信息来源于中国教育考试网，教育部教育考试院主办）
7,什么是高等教育自学考试？,高等教育自学考试（以下简称自学考试）是对自学考试参加者（以下简称考生）进行以学历考试为主的高等教育国家考试，是个人自学、社会助学和国家考试相结合的高等教育形式。考生按省级教育考试机构规定的时间和地点报名并参加考试，在取得一门以上（含）课程合格成绩后，由省级教育考试机构为其建立考籍管理档案。考生在取得专业计划规定的全部课程合格成绩、完成主考学校毕业考核或论文答辩等其他教学实践任务、思想品德鉴定合格、符合毕业条件的，可按规定申请毕业；获得自学考试专科、本科毕业证书者，国家承认其学历。符合学位授予条件的自学考试本科毕业生，由有学位授予权的主考学校依照有关规定，授予学士学位。（以上信息来源于中国教育考试网，教育部教育考试院主办）
8,高等教育自学考试,高等教育自学考试（以下简称自学考试）是对自学考试参加者（以下简称考生）进行以学历考试为主的高等教育国家考试，是个人自学、社会助学和国家考试相结合的高等教育形式。考生按省级教育考试机构规定的时间和地点报名并参加考试，在取得一门以上（含）课程合格成绩后，由省级教育考试机构为其建立考籍管理档案。考生在取得专业计划规定的全部课程合格成绩、完成主考学校毕业考核或论文答辩等其他教学实践任务、思想品德鉴定合格、符合毕业条件的，可按规定申请毕业；获得自学考试专科、本科毕业证书者，国家承认其学历。符合学位授予条件的自学考试本科毕业生，由有学位授予权的主考学校依照有关规定，授予学士学位。（以上信息来源于中国教育考试网，教育部教育考试院主办）
9,高等教育自学考试是什么,高等教育自学考试（以下简称自学考试）是对自学考试参加者（以下简称考生）进行以学历考试为主的高等教育国家考试，是个人自学、社会助学和国家考试相结合的高等教育形式。考生按省级教育考试机构规定的时间和地点报名并参加考试，在取得一门以上（含）课程合格成绩后，由省级教育考试机构为其建立考籍管理档案。考生在取得专业计划规定的全部课程合格成绩、完成主考学校毕业考核或论文答辩等其他教学实践任务、思想品德鉴定合格、符合毕业条件的，可按规定申请毕业；获得自学考试专科、本科毕业证书者，国家承认其学历。符合学位授予条件的自学考试本科毕业生，由有学位授予权的主考学校依照有关规定，授予学士学位。（以上信息来源于中国教育考试网，教育部教育考试院主办）
10,高等教育自学考试的定义是什么？,高等教育自学考试（以下简称自学考试）是对自学考试参加者（以下简称考生）进行以学历考试为主的高等教育国家考试，是个人自学、社会助学和国家考试相结合的高等教育形式。考生按省级教育考试机构规定的时间和地点报名并参加考试，在取得一门以上（含）课程合格成绩后，由省级教育考试机构为其建立考籍管理档案。考生在取得专业计划规定的全部课程合格成绩、完成主考学校毕业考核或论文答辩等其他教学实践任务、思想品德鉴定合格、符合毕业条件的，可按规定申请毕业；获得自学考试专科、本科毕业证书者，国家承认其学历。符合学位授予条件的自学考试本科毕业生，由有学位授予权的主考学校依照有关规定，授予学士学位。（以上信息来源于中国教育考试网，教育部教育考试院主办）
